Plasmid_60	Plasmid_60_noise	Plasmid_60_expression	Plasmid_60_mixture
0.00011405109489051095	4.0073426580899685e-61	5.8388938180641096e-5	5.8388938180641096e-5
0	1.1289397488864535e-61	5.6636787971409264e-5	5.663678797140926e-5
0	3.179712552757064e-62	5.493921720746873e-5	5.4939217207468724e-5
0	8.953834776486683e-63	5.329443451070116e-5	5.329443451070116e-5
0	2.520784305691232e-63	5.170071171321776e-5	5.170071171321777e-5
0	7.095270248547487e-64	5.0156381400539866e-5	5.0156381400539886e-5
0	1.9966873479833976e-64	4.865983456251677e-5	4.865983456251677e-5
0	5.617722166829418e-65	4.7209518346561875e-5	4.720951834656189e-5
0	1.5802313963632112e-65	4.580393390810177e-5	4.580393390810177e-5
0	4.444188821675204e-66	4.444163435342585e-5	4.4441634353425884e-5
0	1.2496167287920184e-66	4.312122277039843e-5	4.3121222770398404e-5
0	3.512972670829418e-67	4.1841350342750255e-5	4.184135034275026e-5
0.00011405109489051095	9.873869972735842e-68	4.060071454390738e-5	4.060071454390738e-5
0.00011405109489051095	2.774698411610552e-68	3.939805740653801e-5	3.9398057406538024e-5
0	7.795804737441133e-69	3.823216386420951e-5	3.8232163864209496e-5
0	2.1898981717728336e-69	3.710186016174354e-5	3.7101860161743566e-5
0.00011405109489051095	6.150432917444976e-70	3.6006012331042594e-5	3.6006012331042614e-5
0	1.727059197801621e-70	3.494352472933449e-5	3.4943524729334474e-5
0	4.848746645809862e-71	3.391333863694314e-5	3.391333863694314e-5
0	1.3610479616851977e-71	3.2914430911848694e-5	3.291443091184871e-5
0	3.819794128660892e-72	3.1945812698441306e-5	3.194581269844132e-5
0	1.071840042619423e-72	3.100652818800958e-5	3.100652818800959e-5
0	3.0070758207198276e-73	3.0095653428631535e-5	3.0095653428631525e-5
0	8.434979459475564e-74	2.9212295182254664e-5	2.921229518225466e-5
0.00011405109489051095	2.3656461488081007e-74	2.8355589826865343e-5	2.8355589826865347e-5
0	6.633496126943021e-75	2.7524702301753193e-5	2.7524702301753173e-5
0	1.859785855755434e-75	2.671882509397632e-5	2.6718825093976324e-5
0	5.2132910688091177e-76	2.5937177264228065e-5	2.5937177264228062e-5
0	1.4611350918318612e-76	2.517900351039376e-5	2.517900351039376e-5
0.00011405109489051095	4.0944815049660755e-77	2.4443573267171454e-5	2.4443573267171448e-5
0	1.1471979590525011e-77	2.3730179840208712e-5	2.3730179840208726e-5
0	3.2137306797036033e-78	2.3038139573283285e-5	2.3038139573283302e-5
0	9.001460734973144e-79	2.2366791047125694e-5	2.2366791047125694e-5
0	2.5208652358625035e-79	2.1715494308549447e-5	2.1715494308549447e-5
0.00011405109489051095	7.058624919021627e-80	2.108363012861729e-5	2.108363012861729e-5
0	1.97617372044546e-80	2.0470599288632285e-5	2.0470599288632285e-5
0	5.531785886443877e-81	1.987582189279913e-5	1.9875821892799118e-5
0	1.5482514980411218e-81	1.929873670645486e-5	1.9298736706454857e-5
0	4.3326561741732965e-82	1.8738800518819174e-5	1.8738800518819177e-5
0.00011405109489051095	1.2122834277687032e-82	1.819548752926264e-5	1.819548752926265e-5
0	3.391501229457256e-83	1.7668288756137166e-5	1.766828875613717e-5
0	9.486768236105746e-84	1.715671146725609e-5	1.715671146725609e-5
0	2.6532839303855766e-84	1.666027863115297e-5	1.666027863115297e-5
0	7.419743619739102e-85	1.6178528388286894e-5	1.61785283882869e-5
0	2.0746001746940836e-85	1.571101354139919e-5	1.5711013541399196e-5
0	5.7999046359649084e-86	1.5257301064262235e-5	1.5257301064262233e-5
0	1.621245599399417e-86	1.4816971628093834e-5	1.481697162809383e-5
0	4.531258686805405e-87	1.4389619144943177e-5	1.438961914494318e-5
0	1.2662852738861113e-87	1.397485032738417e-5	1.397485032738417e-5
0.00011405109489051095	3.538241448813607e-88	1.357228426388106e-5	1.3572284263881053e-5
0	9.88523804645362e-89	1.3181552009218512e-5	1.3181552009218512e-5
0.00011405109489051095	2.761411276037007e-89	1.2802296189414534e-5	1.280229618941454e-5
0	7.712938738522198e-90	1.2434170620559314e-5	1.2434170620559312e-5
0	2.154041262149799e-90	1.2076839941046765e-5	1.2076839941046765e-5
0	6.014977640498241e-91	1.1729979256688236e-5	1.1729979256688234e-5
0	1.6794241169826295e-91	1.1393273798219014e-5	1.1393273798219005e-5
0	4.688496776278361e-92	1.1066418590729006e-5	1.1066418590729004e-5
