pBB_AA_1176_ETS1	pBB_AA_1179_DLX1	pBB_AA_1186_ETS1	pBB_AA_1188_BPTF	pBB_AA_1192_FOXP1	pBB_AA_1208_GFI1	pBB_AA_1213_RUNX3	pBB_AA_1214_RUNX2	pBB_AA_1225_FLI1	pBB_AA_1230_ZNF699	pBB_AA_1247_KLF1	pBB_AA_1249_ERG	pBB_AA_1251_TBX19	pBB_AA_1264_ATF6B	pBB_AA_1274_RUNX1	pBB_AA_1276_CENPB	pBB_AA_1283_NFIX	pBB_AA_1286_SOX13	pBB_AA_1296_IRF8	pBB_AA_1297_SPI1	pBB_AA_1306_CEBPB	pBB_AA_1316_FLuc_1	pBB_AA_1317_FLuc_2	pBB_AA_1318_FLuc_3	pBB_AA_1319_FLuc_4
0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	9	0	2	5	5	2	4
0	0	1	0	0	5	0	0	0	0	0	0	1	1	0	0	2	0	11	0	0	1	3	4	4
0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	12	0	0	3	3	4	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	1	2	5	3	3
0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	7	1	0	6	6	3	5
1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	10	0	1	3	4	4	5
0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	12	0	0	3	2	2	4
0	0	2	0	0	1	0	0	0	0	1	0	1	1	0	0	2	0	6	1	1	3	0	1	6
1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	2	2	8	0	0	8	5	3	2
0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	8	0	0	6	4	4	5
0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	7	0	0	3	4	6	4
2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	13	1	0	2	7	0	5
0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	4	0	6	0	0	5	1	6	2
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	7	0	0	3	5	3	2
0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	9	0	0	1	3	3	5
0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	8	0	2	1	3	5	4
1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	9	0	1	2	1	4	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	0	1	4	3	3	3
1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	7	0	0	3	2	4	2
0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	6	0	1	2	5	3	4
0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	9	0	0	6	2	3	4
0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	7	0	0	2	1	1	2
0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	18	1	0	2	2	2	1
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	0	1	2	1	2	2
0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	10	0	0	3	4	2	4
0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	5	0	0	5	3	1	1
0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	4	2	4	2
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	1	7	1	2
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	4	4	1
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	0	0	2	1	2	4
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	1	1	4
0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	4	0	0	2	6	2	5
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	1	4	1
0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	1	12	0	0	1	3	3	0
1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	6	1	0	1	3	1	2
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	1	0	1	0	5	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	1	1	1	0	0
0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	2	2	0	1
0	0	0	0	0	1	0	0	0	0	1	0	1	2	1	0	0	1	4	0	0	1	1	2	2
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	1	0	0	1	1
0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	3	0	1	2	3	1	1
0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	2	0	1	0	3
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	1	2	0	3
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	2	1	0	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	3	1	2	0
0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	1	0	3	0
0	1	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	3	2	2	1
0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	1	0	4
0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	6	0	0	1	2	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	6	0	1	2	3	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	2	1	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	1	0	1
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	1	3
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1	1	1
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	1	0	1	1
